Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,5,192,9,Some Random Commen with Id 0
1,1,5,103,4,Some Random Commen with Id 1
2,1,5,149,5,Some Random Commen with Id 2
3,3,6,144,1,Some Random Commen with Id 3
4,3,6,94,8,Some Random Commen with Id 4
5,3,6,117,6,Some Random Commen with Id 5
6,3,6,90,1,Some Random Commen with Id 6
7,3,6,64,3,Some Random Commen with Id 7
8,4,9,117,9,Some Random Commen with Id 8
9,4,9,40,0,Some Random Commen with Id 9
10,4,9,98,0,Some Random Commen with Id 10
11,4,9,87,7,Some Random Commen with Id 11
12,4,9,77,6,Some Random Commen with Id 12
13,4,9,47,1,Some Random Commen with Id 13
14,4,9,197,0,Some Random Commen with Id 14
15,5,6,18,2,Some Random Commen with Id 15
16,5,6,134,2,Some Random Commen with Id 16
17,5,6,169,7,Some Random Commen with Id 17
18,5,6,53,9,Some Random Commen with Id 18
19,5,6,48,2,Some Random Commen with Id 19
20,5,6,189,9,Some Random Commen with Id 20
21,5,6,16,4,Some Random Commen with Id 21
22,5,6,10,0,Some Random Commen with Id 22
23,5,6,152,4,Some Random Commen with Id 23
24,6,8,93,4,Some Random Commen with Id 24
25,6,8,146,3,Some Random Commen with Id 25
26,6,8,103,0,Some Random Commen with Id 26
27,6,8,71,0,Some Random Commen with Id 27
28,6,8,87,0,Some Random Commen with Id 28
29,6,8,17,0,Some Random Commen with Id 29
30,6,8,197,7,Some Random Commen with Id 30
31,6,8,139,3,Some Random Commen with Id 31
32,7,1,133,1,Some Random Commen with Id 32
33,7,1,187,4,Some Random Commen with Id 33
34,7,1,162,3,Some Random Commen with Id 34
35,9,5,68,5,Some Random Commen with Id 35
36,10,5,38,2,Some Random Commen with Id 36
37,10,5,33,4,Some Random Commen with Id 37
38,10,5,108,6,Some Random Commen with Id 38
39,10,5,98,5,Some Random Commen with Id 39
40,10,5,113,7,Some Random Commen with Id 40
41,11,0,139,2,Some Random Commen with Id 41
42,11,0,14,9,Some Random Commen with Id 42
43,12,8,19,8,Some Random Commen with Id 43
44,12,8,59,0,Some Random Commen with Id 44
45,12,8,133,7,Some Random Commen with Id 45
46,13,3,89,9,Some Random Commen with Id 46
47,13,3,21,4,Some Random Commen with Id 47
48,14,9,1,3,Some Random Commen with Id 48
49,15,1,112,8,Some Random Commen with Id 49
50,15,1,54,3,Some Random Commen with Id 50
51,15,1,93,2,Some Random Commen with Id 51
52,15,1,55,0,Some Random Commen with Id 52
53,15,1,154,4,Some Random Commen with Id 53
54,15,1,169,5,Some Random Commen with Id 54
55,15,1,30,6,Some Random Commen with Id 55
56,16,2,140,8,Some Random Commen with Id 56
57,16,2,170,6,Some Random Commen with Id 57
58,16,2,63,3,Some Random Commen with Id 58
